Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
01-Feb-2020,11939,12017.35,11633.3,11661.85,537634767,20598.12
03-Feb-2020,11627.45,11749.85,11614.5,11707.9,669815788,25415.26
04-Feb-2020,11786.25,11986.15,11783.4,11979.65,560430291,22338.5
05-Feb-2020,12005.85,12098.15,11953.35,12089.15,758032580,22998.05
06-Feb-2020,12120,12160.6,12084.65,12137.95,565116236,21735.92
07-Feb-2020,12151.15,12154.7,12073.95,12098.35,473475144,16339.61
10-Feb-2020,12102.35,12103.55,11990.75,12031.5,525674715,17185.14
11-Feb-2020,12108.4,12172.3,12099,12107.9,480491557,16209.52
12-Feb-2020,12151,12231.75,12144.3,12201.2,412399174,16598.33
13-Feb-2020,12219.55,12225.65,12139.8,12174.65,501510138,16315.27
14-Feb-2020,12190.15,12246.7,12091.2,12113.45,623053270,20759.51
17-Feb-2020,12131.8,12159.6,12037,12045.8,455412408,15439.55
18-Feb-2020,12028.25,12030.75,11908.05,11992.5,677307424,18853
19-Feb-2020,12090.6,12134.7,12042.1,12125.9,514030605,17610.89
20-Feb-2020,12119,12152,12071.45,12080.85,502875583,18831.51
24-Feb-2020,12012.55,12012.55,11813.4,11829.4,491224913,19421.04
25-Feb-2020,11877.5,11883.05,11779.9,11797.9,461349973,18510.82
26-Feb-2020,11738.55,11783.25,11639.6,11678.5,567990976,21887.07
27-Feb-2020,11661.25,11663.85,11536.7,11633.3,609266324,21623.47
28-Feb-2020,11382,11384.8,11175.05,11201.75,810523106,32297.15
02-Mar-2020,11387.35,11433,11036.25,11132.75,681148567,24204.55
03-Mar-2020,11217.55,11342.25,11152.55,11303.3,696919348,23281.2
04-Mar-2020,11351.35,11356.6,11082.15,11251,798021596,26928.46
05-Mar-2020,11306.05,11389.5,11244.6,11269,1353209029,26980.65
06-Mar-2020,10942.65,11035.1,10827.4,10989.45,1811564187,26455.29
09-Mar-2020,10742.05,10751.55,10294.45,10451.45,1566119057,35151.79
11-Mar-2020,10334.3,10545.1,10334,10458.4,1219079693,32548.47
12-Mar-2020,10039.95,10040.75,9508,9590.15,1344263317,39283.97
13-Mar-2020,9107.6,10159.4,8555.15,9955.2,1389061775,44167.89
16-Mar-2020,9587.8,9602.2,9165.1,9197.4,898523271,29181.8
17-Mar-2020,9285.4,9403.8,8915.6,8967.05,936185892,28004.16
18-Mar-2020,9088.45,9127.55,8407.05,8468.8,1517275761,39256.71
19-Mar-2020,8063.3,8575.45,7832.55,8263.45,926508824,34274.23
20-Mar-2020,8284.45,8883,8178.2,8745.45,1072263600,37321.25
23-Mar-2020,7945.7,8159.25,7583.6,7610.25,654151814,23891.9
24-Mar-2020,7848.3,8036.95,7511.1,7801.05,739354439,28282.09
25-Mar-2020,7735.15,8376.75,7714.75,8317.85,738114713,28482.01
26-Mar-2020,8451,8749.05,8304.9,8641.45,866534643,32228.31
27-Mar-2020,8949.1,9038.9,8522.9,8660.25,801923401,31336.86
30-Mar-2020,8385.95,8576,8244,8281.1,593953051,24724.44
31-Mar-2020,8529.35,8678.3,8358,8597.75,713390935,27401.3
01-Apr-2020,8584.1,8588.1,8198.35,8253.8,507509685,21307.3
03-Apr-2020,8356.55,8356.55,8055.8,8083.8,697752438,26561.18
07-Apr-2020,8446.3,8819.4,8360.95,8792.2,815245226,35206.69
08-Apr-2020,8688.9,9131.7,8653.9,8748.75,897562690,37641.68
09-Apr-2020,8973.05,9128.35,8904.55,9111.9,743036134,32907.82
13-Apr-2020,9103.95,9112.05,8912.4,8993.85,644468815,26749.06
15-Apr-2020,9196.4,9261.2,8874.1,8925.3,880159358,41878.64
16-Apr-2020,8851.25,9053.75,8821.9,8992.8,720116479,31318.29
17-Apr-2020,9323.45,9324,9091.35,9266.75,684910520,33334.73
20-Apr-2020,9390.2,9390.85,9230.8,9261.85,726364699,28620.91
21-Apr-2020,9016.95,9044.4,8909.4,8981.45,655122903,28273.89
22-Apr-2020,9026.75,9209.75,8946.25,9187.3,734383388,33981.82
23-Apr-2020,9232.35,9343.6,9170.15,9313.9,666650462,30270.55
24-Apr-2020,9163.9,9296.9,9141.3,9154.4,659439249,32859.05
27-Apr-2020,9259.7,9377.1,9250.35,9282.3,512793298,26696.54
28-Apr-2020,9389.8,9404.4,9260,9380.9,614548983,30091.41
29-Apr-2020,9408.6,9599.85,9392.35,9553.35,653026950,31673.23
30-Apr-2020,9753.5,9889.05,9731.5,9859.9,931173802,39332.46
04-May-2020,9533.5,9533.5,9266.95,9293.5,687487134,29785.95
05-May-2020,9429.4,9450.9,9190.75,9205.6,725196178,29700.2
06-May-2020,9226.8,9346.9,9116.5,9270.9,722185448,30798.1
07-May-2020,9234.05,9277.85,9175.9,9199.05,708740416,59705.53
08-May-2020,9376.95,9382.65,9238.2,9251.5,609053504,30743.45
11-May-2020,9348.15,9439.9,9219.95,9239.2,704647074,31048.47
12-May-2020,9168.85,9240.85,9043.95,9196.55,805458787,37706.27
13-May-2020,9584.2,9584.5,9351.1,9383.55,846395245,36488.9
14-May-2020,9213.95,9281.1,9119.75,9142.75,602555564,29541.59
15-May-2020,9182.4,9182.4,9050,9136.85,575857112,25847.33
18-May-2020,9158.3,9158.3,8806.75,8823.25,772983297,33347.46
19-May-2020,8961.7,9030.35,8855.3,8879.1,762152894,32026.94
20-May-2020,8889.15,9093.8,8875.35,9066.55,622308140,30721.99
21-May-2020,9079.45,9178.55,9056.1,9106.25,631542699,28303.51
22-May-2020,9067.9,9149.6,8968.55,9039.25,675759336,31625.47
26-May-2020,9099.75,9161.65,8996.65,9029.05,654959960,30871.59
27-May-2020,9082.2,9334,9004.25,9314.95,763492487,34603.88
28-May-2020,9364.95,9511.25,9336.5,9490.1,837911425,37761.91
29-May-2020,9422.2,9598.85,9376.9,9580.3,967005438,45006.25
01-Jun-2020,9726.85,9931.6,9706.95,9826.15,794183122,38096.92
02-Jun-2020,9880.85,9995.6,9824.05,9979.1,770192848,36723.11
03-Jun-2020,10108.3,10176.2,10035.55,10061.55,794664422,38343.61
04-Jun-2020,10054.25,10123.85,9944.25,10029.1,775106567,36399.04
05-Jun-2020,10093.8,10177.8,10040.75,10142.15,987122302,37824.63
08-Jun-2020,10326.75,10328.5,10120.25,10167.45,936485541,37819.06
09-Jun-2020,10181.15,10291.15,10021.45,10046.65,754217460,36201.05
10-Jun-2020,10072.6,10148.75,10036.85,10116.15,632383068,28485.47
11-Jun-2020,10094.1,10112.05,9885.05,9902,715453486,30813.85
12-Jun-2020,9544.95,9996.05,9544.35,9972.9,796306399,36505.77
15-Jun-2020,9919.35,9943.35,9726.35,9813.7,716053036,31926.65
16-Jun-2020,10014.8,10046.15,9728.5,9914,899895044,36257.89
17-Jun-2020,9876.7,10003.6,9833.8,9881.15,685418390,30700.69
18-Jun-2020,9863.25,10111.2,9845.05,10091.65,622895963,28594.32
19-Jun-2020,10119,10272.4,10072.65,10244.4,892096343,48103.56
22-Jun-2020,10318.75,10393.65,10277.6,10311.2,685385093,35529.8
23-Jun-2020,10347.95,10484.7,10301.75,10471,669195109,34148.13
24-Jun-2020,10529.25,10553.15,10281.95,10305.3,854799801,41394.45
25-Jun-2020,10235.55,10361.8,10194.5,10288.9,994190886,41726.07
26-Jun-2020,10378.9,10409.85,10311.25,10383,671910159,31841.68
29-Jun-2020,10311.95,10337.95,10223.6,10312.4,574544482,27019.46
30-Jun-2020,10382.6,10401.05,10267.35,10302.1,556238560,27342.55
01-Jul-2020,10323.8,10447.05,10299.6,10430.05,573550127,28736.28
02-Jul-2020,10493.05,10598.2,10485.55,10551.7,597423931,31235.17
03-Jul-2020,10614.95,10631.3,10562.65,10607.35,525190704,25186.39
06-Jul-2020,10723.85,10811.4,10695.1,10763.65,571212914,29857.54
07-Jul-2020,10802.85,10813.8,10689.7,10799.65,636764929,36502.37
08-Jul-2020,10818.65,10847.85,10676.55,10705.75,767941333,37676.34
09-Jul-2020,10755.55,10836.85,10733,10813.45,618652409,31315.87
10-Jul-2020,10764.1,10819.4,10713,10768.05,590705425,31557.58
13-Jul-2020,10851.85,10894.05,10756.05,10802.7,554050579,30606.3
14-Jul-2020,10750.85,10755.65,10562.9,10607.35,532368699,30902.47
15-Jul-2020,10701,10827.45,10577.75,10618.2,715901258,42376.03
16-Jul-2020,10706.2,10755.3,10595.2,10739.95,694402635,41453.95
17-Jul-2020,10752,10933.45,10749.65,10901.7,676881092,35592.83
20-Jul-2020,10999.45,11037.9,10953,11022.2,554306867,32738.64
21-Jul-2020,11126.1,11179.55,11113.25,11162.25,771998838,42461.89
22-Jul-2020,11231.2,11238.1,11056.55,11132.6,765074288,41068.72
23-Jul-2020,11135,11239.8,11103.15,11215.45,621575333,32744.93
24-Jul-2020,11149.95,11225.4,11090.3,11194.15,678935175,40217.17
27-Jul-2020,11225,11225,11087.85,11131.8,588148687,34539.73
28-Jul-2020,11154.1,11317.75,11151.4,11300.55,683891350,38677.47
29-Jul-2020,11276.9,11341.4,11149.75,11202.85,600726301,38726.02
30-Jul-2020,11254.3,11299.95,11084.95,11102.15,677761342,39150.44
31-Jul-2020,11139.5,11150.4,11026.65,11073.45,642560311,36220.09
03-Aug-2020,11057.55,11058.05,10882.25,10891.6,680929323,31149.94
04-Aug-2020,10946.65,11112.25,10908.1,11095.25,625738313,35357.96
05-Aug-2020,11155.75,11225.65,11064.05,11101.65,667639446,34894.58
06-Aug-2020,11185.7,11256.8,11127.3,11200.15,600374615,31501.08
07-Aug-2020,11186.65,11231.9,11142.05,11214.05,452629891,27054.43
10-Aug-2020,11270.25,11337.3,11238,11270.15,491999534,29108.25
11-Aug-2020,11322.25,11373.6,11299.15,11322.5,586084846,30314.89
12-Aug-2020,11289,11322,11242.65,11308.4,609858960,28088.09
13-Aug-2020,11334.85,11359.3,11269.95,11300.45,562355175,26500.52
14-Aug-2020,11353.3,11366.25,11111.45,11178.4,645109756,31059.23
17-Aug-2020,11248.9,11267.1,11144.5,11247.1,633963958,27468.67
18-Aug-2020,11259.8,11401.7,11253.15,11385.35,579242492,27267.51
19-Aug-2020,11452.15,11460.35,11394.1,11408.4,626217997,27528.12
20-Aug-2020,11317.45,11361.45,11289.8,11312.2,791587770,27676.18
21-Aug-2020,11409.65,11418.5,11362.2,11371.6,668719170,26294.26
24-Aug-2020,11412,11497.25,11410.65,11466.45,532900535,28920.84
25-Aug-2020,11513.1,11525.9,11423.35,11472.25,638152608,28742.82
26-Aug-2020,11512.85,11561.75,11461.85,11549.6,743442521,34852.01
27-Aug-2020,11609.3,11617.35,11540.6,11559.25,719776490,31580.61
28-Aug-2020,11602.95,11686.05,11589.4,11647.6,806997707,39349.92
31-Aug-2020,11777.55,11794.25,11325.85,11387.5,1371789450,61668.55
01-Sep-2020,11464.3,11553.55,11366.9,11470.25,783769555,36752.54
02-Sep-2020,11478.55,11554.75,11430.4,11535,593494423,27454.65
03-Sep-2020,11566.2,11584.95,11507.65,11527.45,607115212,26868.26
04-Sep-2020,11354.4,11452.05,11303.65,11333.85,681338905,31746.86
07-Sep-2020,11359.6,11381.15,11251.7,11355.05,560322964,25959.82
08-Sep-2020,11378.55,11437.25,11290.45,11317.35,572239350,27979.7
09-Sep-2020,11218.6,11298.15,11185.15,11278,728880693,32660.67
10-Sep-2020,11363.3,11464.05,11327.4,11449.25,679419973,39239.1
11-Sep-2020,11447.8,11493.5,11419.9,11464.45,554789157,29614.09
14-Sep-2020,11540.15,11568.9,11383.55,11440.05,642270123,33996.94
15-Sep-2020,11487.2,11535.95,11442.25,11521.8,506667239,28054.51
16-Sep-2020,11538.45,11618.1,11516.75,11604.55,527804775,27629.71
17-Sep-2020,11539.4,11587.2,11498.5,11516.1,517729494,29674.95
18-Sep-2020,11584.1,11584.1,11446.1,11504.95,764154094,48698.68
21-Sep-2020,11503.8,11535.25,11218.5,11250.55,602851737,37213.23
22-Sep-2020,11301.75,11302.2,11084.65,11153.65,672249921,36296.49
23-Sep-2020,11258.75,11259.55,11024.4,11131.85,714925847,35542.98
24-Sep-2020,11011,11015.3,10790.2,10805.55,706139506,33623.71
25-Sep-2020,10910.4,11072.6,10854.85,11050.25,559597322,31122.18
28-Sep-2020,11140.85,11239.35,11099.85,11227.55,472777324,24361.17
29-Sep-2020,11288.6,11305.4,11181,11222.4,498295735,26875.14
30-Sep-2020,11244.45,11295.4,11184.55,11247.55,499343849,28134.77
01-Oct-2020,11364.45,11428.6,11347.05,11416.95,447740006,26212.72
05-Oct-2020,11487.8,11578.05,11452.3,11503.35,530597393,31341.55
06-Oct-2020,11603.45,11680.3,11564.3,11662.4,561444728,30373.65
07-Oct-2020,11679.25,11763.05,11629.35,11738.85,513367516,32935.98
08-Oct-2020,11835.4,11905.7,11791.15,11834.6,608768573,38677.49
09-Oct-2020,11852.05,11938.6,11805.2,11914.2,611079482,34546.8
12-Oct-2020,11973.55,12022.05,11867.2,11930.95,522627571,26586.47
13-Oct-2020,11934.65,11988.2,11888.9,11934.5,458304851,29403.22
14-Oct-2020,11917.4,11997.2,11822.15,11971.05,569245407,29940.62
15-Oct-2020,12023.45,12025.45,11661.3,11680.35,608865041,35175.92
16-Oct-2020,11727.4,11789.75,11667.85,11762.45,555764762,30439.19
19-Oct-2020,11879.2,11898.25,11820.4,11873.05,541420990,29888.6
20-Oct-2020,11861,11949.25,11837.25,11896.8,453560934,28367.34
21-Oct-2020,11958.55,12018.65,11775.75,11937.65,623658140,37477.13
22-Oct-2020,11890,11939.55,11823.45,11896.45,544901152,33013.17
23-Oct-2020,11957.9,11974.55,11908.75,11930.35,502340361,27424.61
26-Oct-2020,11937.4,11942.85,11711.7,11767.75,519815905,29316.02
27-Oct-2020,11807.1,11899.05,11723,11889.4,616318543,37989.97
28-Oct-2020,11922.6,11929.4,11684.85,11729.6,704018608,37025.89
29-Oct-2020,11633.3,11744.15,11606.45,11670.8,554959844,30436.62
30-Oct-2020,11678.45,11748.95,11535.45,11642.4,553672805,28151.58
02-Nov-2020,11697.35,11725.65,11557.4,11669.15,568434165,35714.57
03-Nov-2020,11734.45,11836.2,11723.3,11813.5,674303605,36363.95
04-Nov-2020,11783.35,11929.65,11756.4,11908.5,667290347,38552.09
05-Nov-2020,12062.4,12131.1,12027.6,12120.3,632455414,32311.46
06-Nov-2020,12156.65,12280.4,12131.85,12263.55,576837602,34965.94
09-Nov-2020,12399.4,12474.05,12367.35,12461.05,553449924,34255.11
10-Nov-2020,12556.4,12643.9,12475.25,12631.1,847450692,51247.01
11-Nov-2020,12680.6,12769.75,12571.1,12749.15,880475468,54744.55
12-Nov-2020,12702.15,12741.15,12624.85,12690.8,622017762,36794.24
13-Nov-2020,12659.7,12735.95,12607.7,12719.95,513948665,34568.65
14-Nov-2020,12823.35,12828.7,12749.45,12780.25,107868139,5189.38
17-Nov-2020,12932.5,12934.05,12797.1,12874.2,707676873,40977.03
18-Nov-2020,12860.1,12948.85,12819.35,12938.25,731321438,39856.45
19-Nov-2020,12839.5,12963,12745.75,12771.7,768751782,44747.08
20-Nov-2020,12813.4,12892.45,12730.25,12859.05,663997267,42992.15
23-Nov-2020,12960.3,12968.85,12825.7,12926.45,633117401,42031.38
24-Nov-2020,13002.6,13079.1,12978,13055.15,571864976,37094.23
25-Nov-2020,13130,13145.85,12833.65,12858.4,679005507,37401.36
26-Nov-2020,12906.45,13018,12790.4,12987,549798925,34624.15
27-Nov-2020,13012.05,13035.3,12914.3,12968.95,1162360673,78522.93
01-Dec-2020,13062.2,13128.4,12962.8,13109.05,583633902,32917.26
02-Dec-2020,13121.4,13128.5,12983.55,13113.75,717711761,34008.74
03-Dec-2020,13215.3,13216.6,13107.9,13133.9,713688035,39627.71
04-Dec-2020,13177.4,13280.05,13152.85,13258.55,640514315,36428.05
07-Dec-2020,13264.85,13366.65,13241.95,13355.75,591722966,33578.64
08-Dec-2020,13393.85,13435.45,13311.05,13392.95,543165361,33755.81
09-Dec-2020,13458.1,13548.9,13449.6,13529.1,502605319,28726.97
10-Dec-2020,13488.5,13503.55,13399.3,13478.3,553402501,30400.2
11-Dec-2020,13512.3,13579.35,13402.85,13513.85,787707481,33696.57
14-Dec-2020,13571.45,13597.5,13472.45,13558.15,558390043,28133.58
15-Dec-2020,13547.2,13589.65,13447.05,13567.85,497600393,30828.33
16-Dec-2020,13663.1,13692.35,13606.45,13682.7,462151091,27460.18
17-Dec-2020,13713.55,13773.25,13673.55,13740.7,416008520,27712.93
18-Dec-2020,13764.4,13772.85,13658.6,13760.55,519393189,34803.3
21-Dec-2020,13741.9,13777.5,13131.45,13328.4,687255400,38243.62
22-Dec-2020,13373.65,13492.05,13192.9,13466.3,696197300,36328.33
23-Dec-2020,13473.5,13619.45,13432.2,13601.1,458651819,27073.45
24-Dec-2020,13672.15,13771.75,13626.9,13749.25,471367730,24764.35
28-Dec-2020,13815.15,13885.3,13811.55,13873.2,403634030,20923.06
29-Dec-2020,13910.35,13967.6,13859.9,13932.6,439593961,25154.23
30-Dec-2020,13980.9,13997,13864.95,13981.95,380681073,24633.12
31-Dec-2020,13970,14024.85,13936.45,13981.75,452410109,26305.82
01-Jan-2021,13996.1,14049.85,13991.35,14018.5,258090905,15873.75
04-Jan-2021,14104.35,14147.95,13953.75,14132.9,494999295,28705.09
05-Jan-2021,14075.15,14215.6,14048.15,14199.5,492475349,30872.87
06-Jan-2021,14240.95,14244.15,14039.9,14146.25,632323316,34615.55
07-Jan-2021,14253.75,14256.25,14123.1,14137.35,559173512,33446.47
08-Jan-2021,14258.4,14367.3,14221.65,14347.25,613472067,37615.19
11-Jan-2021,14474.05,14498.2,14383.1,14484.75,672878543,40186.21
12-Jan-2021,14473.8,14590.65,14432.85,14563.45,929566952,44976.12
13-Jan-2021,14639.8,14653.35,14435.7,14564.85,873956688,44682.93
14-Jan-2021,14550.05,14617.8,14471.5,14595.6,620194977,37534.37
15-Jan-2021,14594.35,14617.45,14357.85,14433.7,789557216,39912.18
18-Jan-2021,14453.3,14459.15,14222.8,14281.3,762043554,41716.22
19-Jan-2021,14371.65,14546.05,14350.85,14521.15,546108304,33084.79
20-Jan-2021,14538.3,14666.45,14517.55,14644.7,623069963,34639.36
21-Jan-2021,14730.95,14753.55,14517.25,14590.35,704646957,41939.04
22-Jan-2021,14583.4,14619.9,14357.75,14371.9,776750347,45322.54
25-Jan-2021,14477.8,14491.1,14218.6,14238.9,618631493,42278.39
27-Jan-2021,14237.95,14237.95,13929.3,13967.5,660711117,40579.24
28-Jan-2021,13810.4,13898.25,13713.25,13817.55,637871621,39881.82
29-Jan-2021,13946.6,13966.85,13596.75,13634.6,753206122,46918.29
01-Feb-2021,13758.6,14336.35,13661.75,14281.2,870529495,51840.22
02-Feb-2021,14481.1,14731.7,14469.15,14647.85,914965225,58177.74
03-Feb-2021,14754.9,14868.85,14574.15,14789.95,869477087,49312.35
04-Feb-2021,14789.05,14913.7,14714.75,14895.65,884686415,47811.8
05-Feb-2021,14952.6,15014.65,14864.75,14924.25,935629058,54394.63
08-Feb-2021,15064.3,15159.9,15041.05,15115.8,671242694,40483.96
09-Feb-2021,15164.15,15257.1,15064.3,15109.3,713279133,41930.72
10-Feb-2021,15119.05,15168.25,14977.2,15106.5,624791133,40707.97
11-Feb-2021,15073.25,15188.5,15065.4,15173.3,500122414,30933.44
12-Feb-2021,15186.2,15243.5,15081,15163.3,571808807,32304.24
15-Feb-2021,15270.3,15340.15,15243.4,15314.7,455959720,28955.29
16-Feb-2021,15371.45,15431.75,15242.2,15313.45,648545320,36550.03
17-Feb-2021,15279.9,15314.3,15170.75,15208.9,504767226,34073.12
18-Feb-2021,15238.7,15250.75,15078.05,15118.95,770629541,37093.99
19-Feb-2021,15074.8,15144.05,14898.2,14981.75,712213821,37419.34
22-Feb-2021,14999.05,15010.1,14635.05,14675.7,609898454,37578.07
23-Feb-2021,14782.25,14854.5,14651.85,14707.8,744092809,39508.09
24-Feb-2021,14729.15,15008.8,14723.05,14982,403754669,23723.99
25-Feb-2021,15079.85,15176.5,15065.35,15097.35,803883875,42983.07
26-Feb-2021,14888.6,14919.45,14467.75,14529.15,1103644519,65012.96
01-Mar-2021,14702.5,14806.8,14638.55,14761.55,507302977,30030.57
02-Mar-2021,14865.3,14959.1,14760.8,14919.1,621723916,34647.26
03-Mar-2021,15064.4,15273.15,14995.8,15245.6,544205583,34567.73
04-Mar-2021,15026.75,15202.35,14980.2,15080.75,534850447,36036.02
05-Mar-2021,14977.95,15092.35,14862.1,14938.1,640700362,37811.6
08-Mar-2021,15002.45,15111.15,14919.9,14956.2,580308065,29518.07
09-Mar-2021,15049.9,15126.85,14925.45,15098.4,675271251,38365.48
10-Mar-2021,15202.15,15218.45,15100.85,15174.8,404585756,25603.32
12-Mar-2021,15321.15,15336.3,14953.6,15030.95,493238854,32195.96
15-Mar-2021,15048.4,15048.4,14745.85,14929.5,467473367,28118
16-Mar-2021,14996.1,15051.6,14890.65,14910.45,437651327,27975.07
17-Mar-2021,14946.55,14956.55,14696.05,14721.3,479352147,27983.5
18-Mar-2021,14855.5,14875.2,14478.6,14557.85,542216908,31339.71
19-Mar-2021,14471.15,14788.25,14350.1,14744,919178208,49011.27
22-Mar-2021,14736.3,14763.9,14597.85,14736.4,458997059,27345.02
23-Mar-2021,14768.55,14878.6,14707,14814.75,474150088,30322.09
24-Mar-2021,14712.45,14752.35,14535,14549.4,456403503,27868.93
25-Mar-2021,14570.9,14575.6,14264.4,14324.9,606820996,35350.22
26-Mar-2021,14506.3,14572.9,14414.25,14507.3,481000845,29423.45
30-Mar-2021,14628.5,14876.3,14617.6,14845.1,594520567,35117.93
31-Mar-2021,14811.85,14813.75,14670.25,14690.7,436874691,29741.83
01-Apr-2021,14798.4,14883.2,14692.45,14867.35,430028476,29585.23
05-Apr-2021,14837.7,14849.85,14459.5,14637.8,500476690,33885.39
06-Apr-2021,14737,14779.1,14573.9,14683.5,474211156,31885.97
07-Apr-2021,14716.45,14879.8,14649.85,14819.05,476382016,35184.96
08-Apr-2021,14875.65,14984.15,14821.1,14873.8,503728173,34444.56
09-Apr-2021,14882.65,14918.45,14785.65,14834.85,498347599,35010.36
12-Apr-2021,14644.65,14652.5,14248.7,14310.8,638475842,43433.24
13-Apr-2021,14364.9,14528.9,14274.9,14504.8,588666016,40846.57
15-Apr-2021,14522.4,14597.55,14353.2,14581.45,556851211,40177.25
16-Apr-2021,14599.6,14697.7,14559,14617.85,568568743,36653.65
19-Apr-2021,14306.6,14382.3,14191.4,14359.45,503142904,34751.95
